categoria;marca;modelo;unidades_instaladas;n_sedes
PANEL TÁCTIL;CISCO;CISCO ROOM NAVIGATOR;347;13
VIDEOCONFERENCIA;CISCO;SPARK ROOM KIT;285;14
PANTALLA;SAMSUNG;QB65R-B;264;14
MICRÓFONO;CISCO;TABLE MICROPHONE MINI JACK (V1);223;9
PANTALLA;SAMSUNG;QB65R;205;10
PC;LENOVO;M920Q;107;11
CAJA CONEXIONES;BACHMANN;TOPFRAME;102;1
MONITOR;SAMSUNG;QB65H;75;2
PANTALLA;SAMSUNG;QB55R;71;8
VIDEOCONFERENCIA;CISCO;WEBEX ROOM BAR PRO;71;8
BARRA VIDEOCONFERENCIA;AVER;VB342;69;2
ALTAVOZ;GENELEC;4010AW;62;8
MICRÓFONO;CISCO;TABLE MICROPHONE MINI JACK (V2);59;11
PANTALLA;SAMSUNG;QB55R-B;59;5
TRANSMISOR VIDEO;CRESTRON;DM-NVX-E30;59;1
MONITOR;SAMSUNG;OM75D-W;58;1
PANEL TÁCTIL;CISCO;CISCO TOUCH 10;58;8
RECEPTOR VÍDEO;EXTRON;DTP HDMI 4K 230 RX;52;8
MICRÓFONO;BOSCH;CONCENTRUS;48;1
CÁMARA;CRESTRON;UC-SB1-CAM;47;4
PANTALLA ROOMWIZARD;STEELCASE;ROOMWIZARD II;45;2
TRANSMISOR VÍDEO;EXTRON;DTP HDMI 4K 230 TX;44;6
PANEL TÁCTIL;CISCO;ROOM NAVIGATOR;41;9
MICRÓFONO;BOSCH;DCN-DISDCS-L;40;2
MICRÓFONO;DICENTIS;DCNM-WD;39;2
RECEPTOR DE VIDEO;CRESTRON;DM-NVX-D30;39;1
PC;LENOVO;THINKCENTRE M920Q;35;8
ALTAVOZ;BOSE;FREESPACE DS100F;32;1
PANEL TÁCTIL;CISCO;TOUCH 10;31;8
CÁMARA;CISCO;QUAD CAMERA;30;7
SOPORTE ALTAVOZ;GENELEC;8000-422B/W;30;1
SOPORTE PANTALLA;VOGELS;T1844;30;1
TECLADO/RATÓN;LOGITECH;MK710;27;3
MICRÓFONO;BOSCH;DCN-DVCS;25;1
PANTALLA;SAMSUNG;QB65C;25;6
PC;LENOVO;M910Q;25;9
VIDEOCONFERENCIA;CISCO;ROOM BAR PRO;25;9
TECLADO;LOGITECH;K400+;24;4
BARRA;CRESTRON;UC-SB1-CAM;22;3
DOCK STATION;TARGUS;DOCK182;22;2
PANTALLA;SAMSUNG;QB75R;21;7
PANTALLA;SAMSUNG;DM65D;20;7
PANTALLA;SAMSUNG;QB65N;20;7
PROYECTOR;SONY;VPL-PHZ10;20;6
MICRÓFONO;SHURE;BLX2/SM58;19;1
MICRÓFONO MESA;BOSCH;DCN-CONCS;19;1
PROYECTOR;EPSON;EB-1485FI;19;5
BARRA VIDEOCONFERENCIA;CRESTRON;UC-SB1-CAM;18;3
MICRÓFONO;SHURE;BLX1;18;1
PANTALLA;SAMSUNG;PM43H;18;3
VIDEOCONFERENCIA;CISCO;WEBEX ROOM EQ;17;4
MICRÓFONO;BEYER ORBIS;MU21;16;1
MONITOR;ARTHUR HOLM;AH19DX216GA2M2P;16;1
PROYECTOR;EPSON;EB-L630U;16;5
TRANSMISOR DE VIDEO;CRESTRON;DM-NVX-E30;16;1
ALTAVOZ;GENELEC;4010AM;15;2
MICRÓFONO;BOSCH;LBB4144/00;15;1
PUPITRES AUDIO;BOSCH;LBB4144/00;15;1
TOTEM PANTALLA;VOGELS;CONNECT-IT TROLLEY;15;1
BANDEJA CÁMARA;VOGELS;PVA 5050;14;1
CAJA CONEXIONES;AMX;HPX 1200;14;1
DOCK STATION;TARGUS;DOCK 192-A;14;1
DOCKSTATION;TARGUS;DOCK180EUZ;14;1
TECLADO;LOGITECH;K400 PLUS TV;14;2
VIDEOCONFERENCIA;CISCO;WEBEX ROOM EQ QUADCAM;14;1
CÁMARA;CISCO;P60;13;3
MICRÓFONO;YEALINK;VCM35;13;5
MONITOR;ALBIRAL;AH17TXHDGA;13;2
RECEPTOR VÍDEO;CRESTRON;DM-NVX-D30;13;2
TRANSMISOR VÍDEO;CRESTRON;DM-NVX-E20;13;2
CONTROLADORA;EXTRON;IPCP PRO 250;12;6
ESCALADOR;EXTRON;IN1604 HD;12;6
MICROFONIA;SHURE;BLX1288/W85 COMBO S8;12;1
PANEL CISCO;CISCO;CISCO ROOM NAVIGATOR;12;1
RECEPTOR VIDEO;CRESTRON;DM-NVX-D30;12;1
VIDEOCONFERENCIA;CISCO;ROOM KIT EQ;12;5
ALTAVOCES;GENELEC;4010A;11;5
MICRÓFONO;CISCO;TABLE MICROPHONE 20;11;1
MONITOR;SONY;LMD-150S;11;1
PANTALLA;SAMSUNG;QB43R;11;1
PANTALLA;SAMSUNG;QB65B;11;4
ALTAVOCES TECHO;MONITOR AUDIO;PRO-65;10;1
BARRA VIDEOCONFERENCIA;CISCO;CISCO ROOM KIT;10;1
CONTROLADORA;CRESTRON;MC4;10;7
CÁMARA;AVER;CAM520PRO POE;10;1
MICRÓFONO;BIAMP;TESIRA PARLÉ TCM-XEX;10;1
MICRÓFONO;BOSCH;DCN-CON;10;1
BARRA;AVER;VB342;9;2
CÁMARA;CISCO;PTZ 4K;9;6
EXTENSOR;CRESTRON;HD-RXU-4KZ-101-E DM;9;1
EXTENSOR;CRESTRON;HD-TXU-4KZ-211-CHGR;9;1
MONITOR TÁCTIL;NEWLINE;TT-2721AIO;9;1
PANTALLA;SAMSUNG;QM32R-B;9;1
PROYECTOR;LG;LGBU50NST;9;2
SWITCH;NETGEAR;GS305EP;9;2
TECLADO/RATÓN;LOGITECH;K400+;9;3
TOUCH PANEL;CISCO;CISCO TOUCH 10;9;1
TRANSMISOR VÍDEO;CRESTRON;DM-NVX E20;9;1
VIDEOCONFERENCIA;CISCO;ROOM KIT PRO;9;1
ALTAVOCES;GENELEC;4010AW;8;3
ALTAVOZ;BOSE;FREESPACE 3;8;1
ALTAVOZ;MONITOR AUDIO;PRO-65;8;1
BARRA VIDEOCONFERENCIA;YEALINK;A40;8;1
CONTROLADORA;CRESTRON;MC4 (PC);8;1
CONTROLADORA;CRESTRON;RMC4;8;3
CONTROLADORA PROYECTOR;EPSON;ELPHD02;8;1
ESCALADOR;CRESTRON;HD-RX-4K-510-CE;8;1
EXTENSOR;YEALINK;VCH51;8;1
KIT BOTONES;EXTRON;CB-100-010525;8;1
MONITOR;LG;75XS4G-BJ;8;1
PANEL TÁCTIL;CRESTRON;TS-1070;8;4
PANTALLA;SAMSUNG;DM55E;8;4
PANTALLA;SONY;FW - 65X8570C;8;1
RECEPTOR VÍDEO;CRESTRON;DM-NVX-D20;8;1
TELÉFONO IP;CISCO;CP-7945G;8;1
VIDEOCONFERENCIA;CISCO;ROOM BAR BYOD;8;5
CÁMARA;SONY;SRG-X400;7;3
EXTENSOR VIDEO;EXTRON;TX DTP3 T 202;7;1
MATRIZ;LIGHTWARE;UCX-4X2-HC30;7;3
PANTALLA;SAMSUNG;QB55N;7;3
PANTALLA;SAMSUNG;QB75N;7;5
PANTALLA;SONY;KDL-55W802A;7;3
PANTALLA;SONY;KDL-65W855A;7;5
PC;HP;PRODESK 600 G4;7;4
SOPORTE PROYECTOR;TRAULUX;SPT-82120;7;1
TECLADO;LOGITECH;K750;7;1
TOTEM PANTALLA;VOGELS;FD 2064 S;7;1
VIDEOCONFERENCIA;YEALINK;A20-010;7;1
ALTAVOZ;GENELEC;4020C;6;1
AMPLIFICADOR;BITTNER;BASIC 400;6;2
CÁMARA;AVER;CAM 520 PRO POE;6;1
CÁMARA;AVER;VC520;6;3
CÁMARA;AVER;VC520+;6;3
DISTRIBUIDOR VW;SAMSUNG;SNOWJAU;6;1
DOCK STATION;TARGUS;DOCK-190C;6;1
EMBEBEDOR DE AUDIO;BLUESTREAM;HD11AU;6;1
ESCALADOR;EXTRON;IN1604HD;6;2
KIT TECLADO Y RATÓN;LOGITECH;MK700;6;1
MICRÓFONO;BIAMP;TESIRA PARLE TCM-X;6;1
MICRÓFONO;BIAMP;TESIRA PARLE TCM-XEX;6;1
PANEL TÁCTIL;CRESTRON;TSW-770-BS;6;2
PANTALLA;SAMSUNG;DM65E;6;4
PANTALLA;SAMSUNG;QB43-B;6;1
PANTALLA;SAMSUNG;QB55B;6;2
PANTALLA;SAMSUNG;QB55C;6;2
PANTALLA;SAMSUNG;QB75C;6;3
PC;LENOVO;THINKCENTRE M910Q;6;4
PC;LENOVO;THINKCENTRE M93P;6;1
RECEPTOR;EXTRON;DTP HDMI 4K 230 RX;6;2
RECEPTOR VÍDEO;CRESTRON;DM-NVX D20;6;1
RECEPTOR VÍDEO;CRESTRON;DM-NVX-D200;6;2
SOPORTE;VOGELS;PFW 4510;6;1
TECLADO INALÁMBRICO;LOGITECH;K400;6;1
TOTEM PANTALLA;FONESTAR;RL38;6;1
TRANSMISOR VÍDEO;EXTRON;DTP HDMI 230 TX;6;1
UNIDAD CONTROL MICROFONÍA;BOSCH;DCN-CCU2;6;2
WEBCAM;JABRA;PANACAST;6;1
BARRA;AVER;VB342 BARRA;5;2
BARRA;JABRA;PANACAST 50;5;1
BASE CARGA MICRÓFONO;SHURE;SBC203;5;2
BOTONERA;EXTRON;MLC 62 RS CC;5;1
CAJA DE MESA;EXTRON;CABLE CUBBY 1200 NEGRO 70-1037-02;5;1
CÁMARA;AVER;PTC310H;5;2
CÁMARA;AVER;VB342;5;4
CÁMARA;AVER;VC520PRO;5;3
CÁMARA;CISCO;PTZ4K;5;4
DISTRIBUIDOR;CRESTRON;HD-DA8-4KZ-E;5;2
EMBEBEDOR AUDIO;BLUESTREAM;HD11AU;5;1
EMISOR VÍDEO;CRESTRON;DM-NVX-E30;5;1
EXTENSOR VIDEO;EXTRON;RX DTP3 R 201;5;1
MICRÓFONO;AVER;VC520+;5;2
MONITOR;SAMSUNG;QB65C;5;1
PANTALLA;PHILIPS;70BFL2214/12;5;4
PANTALLA;SAMSUNG;QM43B;5;1
PANTALLA DE PROYECCIÓN;COMM-TEC;CP-MO120;5;1
PASADOR;LOGITECH;SPOTLIGHT;5;2
PROYECTOR;EPSON;EB-L690U;5;3
PUPITRE;BOSCH;DCN-IDESK-L;5;2
RECEPTOR MICRÓFONO;SHURE;BLX4R;5;2
RECEPTOR VIDEO;CRESTRON;HD-RX-4KZ-101;5;1
SOPORTE PANTALLA;VOGELS;FD 2064S;5;2
TECLADO;LOGITECH;MK710;5;2
TECLADO;LOGITECH;MX3200;5;1
TELÉFONO IP;CISCO;CP-7937G;5;1
TELÉFONO IP;CISCO;CP-7962G;5;1
TRANSMISOR VIDEO;CRESTRON;HD-TX-4KZ-101;5;1
TRANSMISOR VÍDEO;CRESTRON;DM-NVX-E30;5;1
VIDEOCONFERENCIA;CISCO;ROOM KIT PLUS;5;4
ALTAVOCES TECHO;LDA;XC-65;4;1
ALTAVOZ;BOSE;DS100SE;4;1
ALTAVOZ;BOSE;FREESPACE;4;1
ALTAVOZ;BOSE;FREESPACE DS 100SE WH;4;1
ALTAVOZ;BOSE;UL 1480;4;1
ALTAVOZ;MEYER SOUND;MM-4XP;4;1
ALTAVOZ;VIETA;DO-8;4;1
AMINO;TRIPLEPAY;TPS-SPI-4;4;1
CAJAS ACÚSTICAS;GENELEC;4010AW;4;1
CARGADOR DICENTIS;BOSCH;DCNM-WCH05;4;1
CONTROLADORA;AMX;NX 1200;4;1
CONVERSOR;EXTRON;RGBHDMI 300A;4;1
CÁMARA;CANON;CR-N300;4;2
CÁMARA;CISCO;CTS-CAM-P60;4;1
CÁMARA;SONY;EVI-X2000C;4;1
ESCALADOR;EXTRON;DVS 605;4;2
ESCALADOR;EXTRON;DVS-605-A;4;1
HDMI EMBEBEDOR/DESEMBEBEDOR;BLUSTREAM;HD11AU;4;1
INTERFACE DE AUDIO DANTE, PARA MIC ANALOGICO A DIGITAL DANTE;SHURE;ANI4IN;4;1
MATRIZ;EXTRON;DTP CROSSPOINT 108;4;1
MICRÓFONO;AVER;VC520;4;3
MICRÓFONO;CISCO;TABLE MICROPHONE;4;1
MICRÓFONO;SENNHEISER;E835;4;2
MICRÓFONO;SENNHEISER;SK2000;4;2
MICRÓFONO;SENNHEISER;SK2000 558-626 MHZ;4;2
MICRÓFONO;SENNHEISER;SKM2000 558-626 MHZ;4;2
MICRÓFONO;SHURE;MXA920W-S;4;1
MICRÓFONO;SHURE;SLXD1;4;1
MICRÓFONO;SHURE;SLXD2;4;1
MICRÓFONO;SHURE;WL185;4;3
MICRÓFONO EXTENSOR;BIAMP;TESIRA PARLÉ TCM-X;4;1
MICRÓFONO MESA;CISCO;TABLE MICROPHONE MINI JACK (V1);4;1
MONITOR;SMART;PODIUM 524;4;1
PANTALLA;IIYAMA;LH4340S-B1;4;1
PANTALLA;PHILIPS;65PUS6162/12;4;1
PANTALLA;PIONNER;43MXE1;4;1
PANTALLA;SAMSUNG;DM55D;4;3
PANTALLA;SAMSUNG;LH55QMBEBGCXE;4;1
PANTALLA;SAMSUNG;QB43B;4;1
PANTALLA ELÉCTRICA;PLUSSCREEN;INACCESIBLE;4;1
PASARELA;CRESTRON;HD-CTL-101;4;1
PC;HP;600 MINI G4;4;1
PC;HP;ELITEDESK 800 G5;4;2
PC;LENOVO;M70Q;4;2
PROCESADOR AUDIO;XILICA;SOLARO QR1;4;2
PROCESADOR DE AUDIO;BIAMP;TESIRAFORTÉ AVB VT4;4;1
PROYECTOR;EPSON;EB-G5300;4;2
PROYECTOR;EPSON;EB-L530U;4;2
PROYECTOR;LG;BU50NST;4;2
PROYECTOR;SONY;VPL-FH31;4;3
RECEPTOR MICRÓFONO;SENNHEISER;EM2050 558-626 MHZ;4;2
RECEPTOR MICRÓFONO;SHURE;SLXD4D;4;1
RECEPTOR VÍDEO;CRESTRON;DM-NVX D200;4;1
SOPORTE;INDETERMINADA;TECHO;4;1
SOPORTE;VOGELS;PPC 1585 SOPORTE;4;1
SWITCH;DANTE;SWITCH TP- LINK;4;1
TOTEM PANTALLA;VOGELS;SINRUEDAS;4;1
TOUCH PANEL;CISCO;CISCO ROOM NAVIGATOR;4;1
UNIDAD CONTROL MICROFONÍA;BOSCH;DCN-CCU;4;2
VIDEOCONFERENCIA;CISCO;CODEC PLUS;4;3
VIDEOCONFERENCIA;CISCO;CS-KIT-K9;4;1
VIDEOCONFERENCIA;CISCO;ROOM BAR;4;3
ALTAVOCES (X4);BOSE;INACCESIBLE;3;1
ALTAVOZ;BOSCH;LB1-UM20E-D;3;1
APPLE TV;APPLE;APPLE TV 4 GEN;3;1
BARRA;YEALINK;A40;3;1
BARRA VIDEOCONFERENCIA;CISCO;CISCO ROOM PRO;3;1
BOTONERA;EXTRON;MLC 62 RS;3;1
CAJA DE MESA;EXTRON;CABLE CUBBY 1200 (202EU);3;2
CAPTURADOR PANTALLA;KAPTIVO;WALL MOUNT CAMERA;3;1
COMPARTICIÓN INALÁMBRICA;APPLE;APPLE TV 4 GEN;3;1
CONVERSOR;EXTRON;DPM‑HDF 4K PLUS;3;1
CONVERSOR CATX - HDMI;KAPTIVO;KW100;3;1
CÁMARA;CISCO;PRECISION 60;3;2
CÁMARA;CISCO;QUADCAM;3;2
CÁMARA;LOGITECH;GROUP;3;2
CÁMARA;SONY;SRG-A12;3;2
DANTE;ATTEROTECH;UNDIO2X2;3;2
DISTRIBUIDOR;EXTRON;DA6;3;1
DOCK STATION;TARGUS;DOCK192;3;1
EMISOR HDBASET;CRESTRON;HD-TXC-4KZ-101;3;1
ESCALADOR;EXTRON;IN 1608SA;3;1
ESCALADOR;EXTRON;IN1604;3;2
KIT TECLADO Y RATÓN;LOGITECH;K400+;3;1
MICRO BEAMTRACKING;BIAMP;TESIRA PARLÉ TCM-1;3;1
MICROFONO TECHO;SHURE;MXA 920W-S-60;3;1
MICROFONÍA;BEYERDYNAMIC;TG500H-C;3;1
MICRÓFONO;SENNHEISER;SL CEILING MIC 2;3;1
MICRÓFONO;SHURE;BLX1 H8E;3;2
MICRÓFONO;SHURE;BLX2 S8;3;2
MICRÓFONO;SHURE;MX418 D/C;3;1
MICRÓFONO;SHURE;PGX4;3;1
MICRÓFONO;SHURE;SR450;3;1
MICRÓFONO/ALTAVOZ;YEALINK;CPE40;3;1
PANEL TÁCTIL;AMX;MSD-431I;3;1
PANEL TÁCTIL;EXTRON;TLP PRO 725M;3;2
PANEL TÁCTIL;EXTRON;TLP PRO 725T;3;2
PANTALLA;NEC;E654;3;1
PANTALLA;SAMSUNG;DM32D;3;1
PANTALLA;SAMSUNG;DM82D;3;1
PANTALLA;SAMSUNG;LH65QBHPLGC/EN;3;1
PANTALLA DE PROYECCIÓN;NP;NP;3;1
PANTALLA PROYECCIÓN;INDETERMINADA;P PROYECCION;3;1
PASARELA MÓDULO RELÉ;CRESTRON;CEN-IO-RY-104;3;1
PASARELA RELÉ;CRESTRON;CEN-IO-RY-104;3;1
PC;HP;600 G4;3;2
PC;LENOVO;M93P;3;3
PROCESADOR AUDIO;BIAMP;TESIRAFORTÉ AVB CI;3;1
PROYECTOR;EPSON;EB-1915;3;1
RATÓN;LOGITECH;PERFORMANCE MX;3;1
RATÓN INALÁMBRICO;LOGITECH;NP;3;1
RECEPTOR HDBASET;CRESTRON;HD-RXC-4KZ-101;3;1
RECEPTOR MICROFONÍA;SHURE;SLXD1;3;1
RECEPTOR MICROFONÍA;SHURE;SLXD4D;3;1
RECEPTOR MICRÓFONO;SENNHEISER;EM-2050;3;1
RECEPTOR MICRÓFONO;SHURE;BLX1288/W85 COMBO S8;3;1
SELECTOR;KRAMER;DIP-31;3;2
SOPORTE;INDETERMINADA;SOPORTE;3;1
SOPORTE ALTAVOCES;GENELEC;8000-422W;3;2
SOPORTE PANTALLA;VOGELS;PFW4510;3;1
SOPORTE PARED;B.MONJE;BM-SLCDRM;3;1
SOPORTE PARED;BMONJE;BMSLCDRM;3;1
SWITCH;TP-LINK;TL-SG1005LP;3;1
TECLADO;LOGITECH;K400;3;2
TOTEM;INDETERMINADA;CON RUEDAS;3;2
TOTEM;INDETERMINADA;CONRUEDAS;3;1
TOTEM;VOGEL'S;FD 2064 S TOTEM;3;1
TOTEM PANTALLA;DIMASA;CONRUEDAS;3;1
TOTEM PANTALLA;TRAULUX;CONRUEDAS;3;1
TOTEM PANTALLA;VOGELS;CONRUEDAS;3;1
TRANSMISOR MICROFONÍA;SHURE;SLXD2/SM58;3;1
TRANSMISOR VÍDEO;CRESTRON;DM-NVX-351;3;1
TRANSMISOR VÍDEO;CRESTRON;DM-NVX-360;3;2
TRANSMISOR VÍDEO;EXTRON;DTP HDMI 4K 230 RX;3;1
TRANSMISOR VÍDEO;EXTRON;DTP T USW 233;3;2
TÓTEM;INDETERMINADA;CONRUEDAS;3;2
UNIDAD CONTROL MICROFONÍA;BOSCH;DCN-CCUB;3;2
VIDEOCONFERENCIA;CISCO;EQ;3;3
VIDEOCONFERENCIA;CISCO;SX20;3;2
VIDEOCONFERENCIA;CISCO;WEBEX BOARD 70;3;2
VIDEOCONFERENCIA;CISCO;WEBEX ROOM BAR;3;2
WIRELESS DISPLAY;MICROSOFT;1733.0;3;1
↳TARJETA DANTE;SHURE;MXA 920W-S-60;3;1
ALTAVOCES;GENELEC;4410A;2;1
ALTAVOCES;THOMANN;EV EVID 4.2 BLACK;2;1
ALTAVOZ;EXTRON;SI26X;2;1
ALTAVOZ;GENELEC;4010 WM;2;1
ALTAVOZ;GENELEC;4010A;2;1
ALTAVOZ;GENELEC;4020AW;2;1
ALTAVOZ;GENELEC;4410 DANTE;2;1
ALTAVOZ;GENELEC WHITE;4020C;2;1
ALTAVOZ;PANPHONICS;PANPHONICS SSHA120X20;2;1
ALTAVOZ;XILICA;SONIA -C5;2;1
ALTAVOZ;XILICA;SONIA C-5;2;1
AMPLIFICADOR;APART;MA125;2;2
AMPLIFICADOR;BOSE;1600SERIEVI;2;1
AMPLIFICADOR;BOSE;MA200;2;1
AMPLIFICADOR - MEZCLADOR;AUSTRALIAN MONITOR;AMIS 120;2;1
AMPLIFICADOR MIC;N-AUDIO;MIC1;2;1
BARRA;AVER;VB342+;2;2
BARRA;CRESTON;UC-SB1-CAM;2;1
CABLE C;CISCO;CAB-USBC-AC-9M;2;1
CAMARA;AVER;CAM520 PRO3;2;2
CAPTURADORA VIDEO;ELGATO;CAM LINK 4K;2;1
COLUMNA FON DLI-130 DANTE;FOHHN;DLI-130;2;1
CONTROL AMPLIFICADORES;EXTRON;MDL, VCM100 AAP BLACK;2;1
CONTROLADORA;CRESTRON;CP4N;2;2
CONVERSOR;AUDINATE;AVIO-A-2OUT-EB;2;1
CÁMARA;AVER;CAM520 PRO;2;2
CÁMARA;AVER;CAM550;2;1
CÁMARA;CISCO;CISCO PTZ 4K;2;2
CÁMARA;CISCO;EVI-X200C;2;1
CÁMARA;CISCO;ROOM VISION PTZ;2;1
CÁMARA;YEALINK;A40-010;2;1
DCN - EXPANSOR;BOSCH;DCN - TYPE LBB 4402/00;2;1
DISTRIBUIDOR;BIAMP;TESIRA CONNECT TC-5;2;1
DISTRIBUIDOR;BOSCH;LBB4402/00;2;1
DISTRIBUIDOR;EXTRON;DA2;2;2
EMISOR HDBASET;CRESTRON;HD-TX-101-C-E;2;1
ESCALADOR;EXTRON;DVS 605A;2;1
ESCALADOR;EXTRON;DVS-605;2;2
ESCALADOR;KRAMER;DIP-31M;2;2
ESTACIÓN DE CARGA DE ACOPLAMIENTO DOBLE PARA BATERÍA DE IONES DE LITIO SB903;SHURE;SBC203;2;1
ETAPA DE POTENCIA;MONITOR AUDIO;IA 60-12;2;1
ETAPA DE SONIDO;QSC;CX-Q 2K4;2;1
EXTENSOR;CRESTRON;HD-RXU-4KZ-101-E;2;1
EXTENSOR;CRESTRON;HD-TXU-4KZ-211-CHRG;2;1
FLIPCHART;SAMSUNG;WM55H;2;1
INTERFAZ AUDIO USB;BEHRINGER;UCA202;2;1
MATRIZ;EXTRON;DTP CROSSPOINT 108 4K;2;2
MEZCLADOR AUDIO;BIAMP;NEXIA VC;2;1
MICROFONÍA;SHURE;MX396;2;1
MICRÓFONO;AVER;VC520 PRO;2;2
MICRÓFONO;AVER;VC520PRO;2;1
MICRÓFONO;BIAMP;TESIRA PARLÉ TCM-X;2;1
MICRÓFONO;CISCO;CEILING MICROPHONE PRO;2;1
MICRÓFONO;CISCO;CISCO TELEPRESENCE TABLE MICROPHONE 20;2;1
MICRÓFONO;SENNHEISER;SK;2;1
MICRÓFONO;SENNHEISER;SK2000 516-558 MHZ;2;1
MICRÓFONO;SENNHEISER;SKM-S;2;1
MICRÓFONO;SENNHEISER;SKM2000 516-558 MHZ;2;1
MICRÓFONO;SHURE;BLX 1 HBE;2;1
MICRÓFONO;SHURE;BLX 1 S8;2;1
MICRÓFONO;SHURE;BLX1288/W85 COMBO S8;2;2
MICRÓFONO;SHURE;BLX24R/SM58;2;2
MICRÓFONO;SHURE;BLX288/PG58-H8E;2;1
MICRÓFONO;SHURE;BLX4R H8E;2;1
MICRÓFONO;SHURE;MX920-S;2;1
MICRÓFONO;SHURE;MXA920;2;1
MICRÓFONO;SHURE;MXA920 SQUARE ROUND BLANCO;2;1
MICRÓFONO;SHURE;PG58;2;1
MICRÓFONO MESA;SHURE;MIX 396/C TRI;2;1
MONITOR;NEWLINE;FLEX;2;1
MONITOR;NEWLINE;TT-2721;2;1
MONITOR;NEWLINE;X7;2;1
MONITOR;SAMSUNG;QB65R;2;1
MONITOR;SAMSUNG;QM55C;2;1
MONITOR;SAMSUNG;QMC43C;2;1
PANEL CISCO;CISCO;CISCO TOUCH 10;2;1
PANEL TÁCTIL;CRESTRON;ST 1700C;2;1
PANEL TÁCTIL;CRESTRON;TSW-1070-B-S;2;1
PANTALLA;NEWLINE;X7;2;1
PANTALLA;PHILIPS;55BDL3050Q;2;1
PANTALLA;PHILIPS;70BFL2214;2;2
PANTALLA;PHILLIPS;55BDL3050Q;2;1
PANTALLA;PIONEER;KRP-600M;2;1
PANTALLA;SAMSUNG;"65""";2;1
PANTALLA;SAMSUNG;LH55DME;2;1
PANTALLA;SAMSUNG;LH65QBREBGCXEN;2;1
PANTALLA;SAMSUNG;LH85QMNE;2;1
PANTALLA;SAMSUNG;QB50B;2;1
PANTALLA;SAMSUNG;QB65;2;2
PANTALLA;SAMSUNG;QB65H;2;2
PANTALLA;SONY;55XE8001;2;1
PANTALLA;SONY;65XE8501;2;1
PANTALLA;SONY;BRAVIA KDL-48W605B;2;1
PANTALLA;SONY;FE-65XE8501;2;1
PANTALLA;SONY;KD-75XE9405;2;1
PANTALLA;SONY;KDL-65HX920;2;1
PANTALLA DE PROYECCIÓN;BALTA;PE300-2WCB;2;1
PANTALLA DE PROYECCIÓN;INDETERMINADA;P PROYECCION;2;2
PANTALLA DE PROYECCIÓN;INDETERMINADO;PROYECCION INDETERMINADO;2;1
PASADOR;LOGITECH;WIRELESS PRESENTER R400;2;1
PASARELA MÓDULO RELÉ;UNBRANDED;HHC-N8I8OP;2;1
PC;HP;COMPAQ;2;2
PC;HP;PRODESK 600G4;2;2
PC;HP;PRODESK G4;2;1
PC;LENOVO;8300.0;2;1
PC;LENOVO;920Q;2;1
PC;LENOVO;M910;2;1
PLAYER CARTELERÍA;BRIGHTSIGN;XD1034;2;1
PROCESADOR AUDIO;BIAMP;TESIRA FORTE CI;2;1
PROCESADOR AUDIO;BIAMP;TESIRA FORTE DAN CI;2;1
PROCESADOR DE AUDIO;BIAMP;FORTE AL;2;1
PROCESADOR DE AUDIO;BIAMP;NEXIA;2;1
PROCESADOR DE AUDIO;BIAMP;TESIRAFORTÉ AVB CI;2;1
PROYECTOR;EPSON;EB-1955;2;2
PROYECTOR;EPSON;EB-1980WU;2;2
PROYECTOR;EPSON;EB-G5600;2;1
PROYECTOR;EPSON;L630U;2;2
PROYECTOR;MITSUBISHI;XL1U;2;2
PROYECTOR;MITSUBISHI;XL30U;2;1
PROYECTOR;PANASONIC;PTMZ670;2;1
PROYECTOR;SONY;VPL-FHZ65;2;2
PULSADORES PANTALLAS;CRESTRON;DIN-8SW8-I;2;1
RACK HORIZONTAL SALAS VIDEOCONFERENCIA;ADVANTIS;PC14 - 10670;2;1
RATÓN;LOGITECH;MX MASTER;2;1
RECEPTOR;CRESTRON;HD-RX-101-C-E;2;1
RECEPTOR DE VIDEO;MATROX;DM-NVX-D30;2;1
RECEPTOR HDBASET;CRESTRON;HD-RX-4K-410-C-E;2;1
RECEPTOR MICROFONÍA;SHURE;BLX88 H8E;2;1
RECEPTOR MICRÓFONO;SENNHEISER;EM2050 516-558 MHZ;2;1
RECEPTOR MICRÓFONO;SENNHEISER;EW-D EM;2;1
RECEPTOR MICRÓFONO;SHURE;BLX88;2;1
RECEPTOR MICRÓFONO;SHURE;ULXP4;2;1
RECEPTOR VIDEO;CRESTRON;DM-NVX-D200;2;1
RECEPTOR VIDEO;CRESTRON;DM-NVX-E30;2;1
RECEPTOR VÍDEO;CRESTRON;DM-NVX-D351;2;1
REPRODUCTOR;BRIGHTSIGN;LS423;2;1
SELECTOR;KRAMER;DIP-31M;2;2
SOPORTE;B-TECH AV MOUNTS;BT7052;2;1
SOPORTE ALTAVOZ;GENELEC;8000-422W;2;2
SOPORTE PANTALLA;CHIEF;CM2L40UI;2;1
SOPORTE PANTALLA;HILTON;C2P2;2;1
SOPORTE PANTALLA;VOGELS;CONNECT IT TROLLEY;2;1
SOPORTE PANTALLA;VOGELS;FD 2064 S;2;1
SOPORTE PARED;BMONJE;BM-SLCDRG;2;1
SOPORTE PARED;BMONJE;BM-SLCDRM;2;1
SOPORTE PROYECTOR;VOGELS;PPC 1585;2;1
SUBWOOFER TECHO;MONITOR AUDIO;ICS-8;2;1
SWITCH;EXTRON;DTP T DSW 4K 333;2;1
